Latest spreadsheet with formulas can be found at: <google spreadsheet link>,,,,,,,,,,,
COMPONENTS,,,,,,,,MATERIALS/PARTS FOR DIY COMPONENTS,,,
COMPONENT,QTY,UNIT,BUY QTY,VENDOR,PART#,LINK,NOTES,"ANGLE-1x1,IN","SQ-TUBE-1.5,IN","PTFE-1x1,IN","SCREW 6-32 3/8,EA"
sliding-element-1,8,ea,DIY,-,-,-,-,,8,12,32
sliding-element-2.5,4,ea,DIY,-,-,-,-,,10,6,16
sliding-element-3.5,3,ea,DIY,-,-,-,-,,10.5,9,24
angle-24,6,ea,DIY,-,-,-,-,144,,,
angle-18,6,ea,DIY,-,-,-,-,108,,,
angle-12,6,ea,DIY,-,-,-,-,72,,,
angle-9,4,ea,DIY,-,-,-,-,36,,,
angle-6,6,ea,DIY,-,-,-,-,36,,,
angle-4,15,ea,DIY,-,-,-,-,60,,,
angle-3,16,ea,DIY,-,-,-,-,48,,,
angle-2,16,ea,DIY,-,-,-,-,32,,,
angle-1,26,ea,DIY,-,-,-,-,26,,,
captive-nut,6,ea,DIY,-,-,-,-,6,,,18
leadnut-mount,6,ea,DIY,-,-,-,-,,,,
coupling-nut-clamp,6,ea,DIY,-,-,-,-,,,,36
shaft-mount,12,ea,DIY,-,-,-,-,12,,,36
motor-mount-nema23,3,ea,DIY,-,-,-,-,,,,
limit-switch,6,ea,DIY,-,-,-,-,,,3,
bearing,12,ea,12,VXB/eBay,,,,-,-,-,-
pulley-XL10T,6,ea,6,SDP/SI,,,,-,-,-,-
spider-coupling,3,ea,3,Mcmaster.com,,,consists of 2 couplings + 1 spider!!!,-,-,-,-
belt-XL12OD,1,ea,1,SDP/SI,,,,-,-,-,-
belt-XL32OD,1,ea,1,SDP/SI,,,,-,-,-,-
belt-XL34OD,1,ea,1,SDP/SI,,,,-,-,-,-
coupling-nut-1/4-7/8L,6,ea,6,Mcmaster.com,,,or hardware store,-,-,-,-
threaded-rod-1/4-20,14.5,in,14.5,Mcmaster.com,,,or hardware store,-,-,-,-
threaded-rod-1/4-20,15.5,in,15.5,Mcmaster.com,,,or hardware store,-,-,-,-
threaded-rod-1/4-20,20.5,in,20.5,Mcmaster.com,,,or hardware store,-,-,-,-
threaded-rod-1/4-20,21.5,in,21.5,Mcmaster.com,,,or hardware store,-,-,-,-
threaded-rod-1/4-20,26.5,in,26.5,Mcmaster.com,,,or hardware store,-,-,-,-
threaded-rod-1/4-20,27.5,in,27.5,Mcmaster.com,,,or hardware store,-,-,-,-
nut-1/4,24,ea,24,Mcmaster.com,,,or hardware store,-,-,-,-
spring-lock-washer-1/4,12,ea,12,Mcmaster.com,,,or hardware store,-,-,-,-
nut-10-24,200+,ea,200+,Mcmaster.com,,,,-,-,-,-
screw-10-24-1/2L,100?,ea,100?,Mcmaster.com,,,,-,-,-,-
screw-10-24-3/4L,25?,ea,25?,Mcmaster.com,,,,-,-,-,-
screw-10-24-1L,25?,ea,25?,Mcmaster.com,,,,-,-,-,-
-,-,-,-,-,-,,-,580,28.5,30,162
MATERIALS/PARTS FOR DIY COMPONENTS,,,,,,,,,,,
MATERIAL/PART,,UNIT,BUY QTY,VENDOR,PART#,,NOTES,,,,
AL-angle-1x1,,ft,49,OnlineMetals.com,,,,49,,,
AL-square-tube-1.5,,ft,3,OnlineMetals.com,,,,,3,,
PTFE-angle-1x1,,ft,2.5,Mcmaster.com,,,,,,2.5,
screw-6-32-3/8,,ea,162,Mcmaster.com,,,,,,,162
