Latest spreadsheet with formulas can be found at: http://spreadsheets.google.com/ccc?key=pzMLD26P55y-sbI-DyPUJeQ
COMPONENTS,,,,,,,,,,MATERIALS/PARTS FOR DIY COMPONENTS CALCULATOR
COMPONENT,"QTY, EA",UNIT,BUY UNITS,$/UNIT,$$$,VENDOR,PART#,LINK,NOTES,"ANGLE-1x1,IN","SQ-TUBE-1.5,IN","UHMWPE,IN","SCREW 6-32 3/8,EA","NYLON SCREW 6-32 1/4,EA","THREADED-ROD-1/4-20, IN"
sliding-element-1,8,ea,DIY,-,-,-,-,-,-,,8,6,,48
sliding-element-2.5,4,ea,DIY,-,-,-,-,-,-,,10,3,,24
sliding-element-3.5,4,ea,DIY,-,-,-,-,-,-,,14,6,,48
angle-24,8,ea,DIY,-,-,-,-,-,-,192
angle-18,8,ea,DIY,-,-,-,-,-,-,144
angle-12,8,ea,DIY,-,-,-,-,-,-,96
angle-9,8,ea,DIY,-,-,-,-,-,-,72
angle-6,12,ea,DIY,-,-,-,-,-,-,72
angle-4,16,ea,DIY,-,-,-,-,-,-,64
angle-3,16,ea,DIY,-,-,-,-,-,-,48
angle-2,24,ea,DIY,-,-,-,-,-,-,48
angle-1,32,ea,DIY,-,-,-,-,-,-,32
captive-nut,8,ea,DIY,-,-,-,-,-,-,8,,,24
leadnut-mount,6,ea,DIY,-,-,-,-,-,-,9
coupling-nut-clamp,6,ea,DIY,-,-,-,-,-,-,8.25,,,24,12
shaft-mount,16,ea,DIY,-,-,-,-,-,-,16,,,,48
motor-mount-nema23,3,ea,DIY,-,-,-,-,-,-,7.5
belt-clamp,6,ea,DIY,-,-,-,-,-,-,4.5,,0.5,6
limit-switch,6,ea,DIY,-,-,-,-,-,-,,,1.5
threaded-rod-1/4-20,144,in,DIY,-,-,-,-,-,-,,,,,,144
bearing,16,10-pk,2,$19.95,$40,VXB/eBay,R188ZZ ,http://stores.ebay.com/VXB-Bearings-Skateboard-and-Slotcar,search store for part#,-,-,-,-,-,-
pulley-XL10T,6,ea,6,$5.36,$32,SDP/SI,A 6Z 3-10DF03708,http://sdp-si.com/eStore/PartDetail.asp?Opener=Group&PartID=29443&GroupID=218,,-,-,-,-,-,-
belt-XL12OD,2,ea,2,$5.87,$12,SDP/SI,A 6B 3-060037,http://sdp-si.com/eStore/PartDetail.asp?Opener=Group&PartID=25064&GroupID=213,,-,-,-,-,-,-
belt-XL40OD,2,ea,2,$8.60,$17,SDP/SI,A 6R 3-200037,http://sdp-si.com/eStore/PartDetail.asp?Opener=Group&PartID=30082&GroupID=213,,-,-,-,-,-,-
belt-XL54OD,2,ea,2,$10.72,$21,SDP/SI,A 6R 3-270037,http://sdp-si.com/eStore/PartDetail.asp?Opener=Order&PartID=5676&GroupID=213&Qty=0,,-,-,-,-,-,-
motor-coupling,6,ea,6,$2.54,$15,Mcmaster.com,6408K913,http://www.mcmaster.com/nav/enter.asp?partnum=6408K913,,-,-,-,-,-,-
motor-coupling-spider,3,ea,3,$1.16,$3,Mcmaster.com,6408K61,http://www.mcmaster.com/nav/enter.asp?partnum=6408K61,,-,-,-,-,-,-
coupling-nut-1/4-7/8L,6,ea,6,$0.19,$1,Mcmaster.com,90264A435,http://www.mcmaster.com/nav/enter.asp?partnum=90264A435,or hardware store,-,-,-,-,-,-
nut-1/4,24,100-pk,1,$2.76,$3,Mcmaster.com,90480A029,http://www.mcmaster.com/nav/enter.asp?partnum=90480A029,or hardware store,-,-,-,-,-,-
spring-lock-washer-1/4,12,100-pk,1,$1.58,$2,Mcmaster.com,91102A750,http://www.mcmaster.com/nav/enter.asp?partnum=91102A750,or hardware store,-,-,-,-,-,-
screw-1/4-3L,6,25-pk,1,$7.94,$8,Mcmaster.com,90272A554,http://www.mcmaster.com/nav/enter.asp?partnum=90272A554,or hardware store,-,-,-,-,-,-
nut-10-24,400,100-pk,4,$1.38,$6,Mcmaster.com,90480A011,http://www.mcmaster.com/nav/enter.asp?partnum=90480A011,,-,-,-,-,-,-
combo-screw-10-24-3/8L,12,50-pk,1,$5.71,$6,Mcmaster.com,90604A240,http://www.mcmaster.com/nav/enter.asp?partnum=90604A240,or hardware store,-,-,-,-,-,-
combo-screw-10-24-1/2L,200,100-pk,2,$3.26,$7,Mcmaster.com,91440A242,http://www.mcmaster.com/nav/enter.asp?partnum=91440A242,,-,-,-,-,-,-
combo-screw-10-24-3/4L,<25,100-pk,1,$5.05,$5,Mcmaster.com,91440A245,http://www.mcmaster.com/nav/enter.asp?partnum=91440A245,or hardware store,-,-,-,-,-,-
combo-screw-10-24-1L,<25,100-pk,1,$5.09,$5,Mcmaster.com,91440A247,http://www.mcmaster.com/nav/enter.asp?partnum=91440A247,or hardware store,-,-,-,-,-,-
,,,,,,,,,SUBTOTAL,821.25,32,17,54,180,144
,,,,,,,,,1 UNIT IS,96,36,12,100,100,36
MATERIALS/PARTS FOR DIY COMPONENTS
MATERIAL/PART,,UNIT,BUY UNITS,$/UNIT,$$$,VENDOR,PART#,LINK,NOTES
AL-angle-1x1,,8-ft,9,$7.92,$71,OnlineMetals.com,N/A,http://www.onlinemetals.com/merchant.cfm?pid=1016&step=4&showunits=inches&id=63&top_cat=60,,9,-,-,-,,-
AL-square-tube-1.5,,3-ft,1,$14.54,$15,OnlineMetals.com,N/A,http://www.onlinemetals.com/merchant.cfm?pid=1195&step=4&showunits=inches&id=69&top_cat=60,,-,1,-,-,,-
"UHMWPE channel 1¼""x¾""",,ft,2,$2.79,$6,Mcmaster.com,8672K312,http://www.mcmaster.com/nav/enter.asp?partnum= 8672K312,,-,-,2,-,,-
screw-6-32-3/8,,100-pk,1,$2.52,$3,Mcmaster.com,90279A146,http://www.mcmaster.com/nav/enter.asp?partnum=90279A146,,-,-,-,1,-,-
nylon-screw 6-32 1/4,,100-pk,2,$5.09,$10,Mcmaster.com,97263A144,http://www.mcmaster.com/nav/enter.asp?partnum=97263A144,,-,-,-,-,2,-
threaded-rod-1/4-20,,3-ft,4,$3.10,$12,Mcmaster.com,98957A633,http://www.mcmaster.com/nav/enter.asp?partnum=98957A633,or hardware store,-,-,-,-,-,4

ELECTRONIC COMPONENTS
MATERIAL/PART,"QTY, EA",UNIT,BUY UNITS,$/UNIT,$$$,VENDOR,PART#,LINK,NOTES
stepper-motor,3,3-pk,1,$26.95,$27,puppysarge/eBay,44A501711,http://stores.shop.ebay.com/Puppysarge-at-Alltronics__W0QQ_armrsZ1,"search store for part#
(in titles and descriptions) "
stepper-driver-board-kit,3,ea,3,$26.00,$78,MakerBot.com,SMD v1.2,http://store.makerbot.com/electronics/electronics-kits/stepper-motor-driver-v1-2-kit.html
arduino-diecimila,1,ea,1,$30.00,$30,Anywhere,N/A,http://www.google.com/products?&q=Arduino+Diecimila

,,,,TOTAL,$433.92,plus S/H
